This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202403 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196701,  20.7873,  19.2463,  18.6627,  21.6407,  17.3214,  16.9703,  16.3877,  17.1297,  17.4463,  20.3187,  16.8032,  14.6888,  12.2318,  13.2375,  14.3608,   9.7234,   6.6688,   9.7651,  12.2756,  13.6968,   7.7322,   7.0495,   4.9290,   7.8591,  13.7899
196702,   6.9062,   6.0115,   5.5473,   3.8680,   5.8963,   3.2435,   2.6625,   1.0636,   3.8310,   1.6754,   2.1013,   2.3851,   1.6078,   0.7578,   0.7838,   2.7884,  -0.3777,  -0.4044,   1.6263,   0.1613,   2.3014,   0.8070,  -0.8478,  -0.8658,  -1.3300
196703,   7.1556,   6.3849,   5.0485,   7.7346,   5.1658,   6.8640,   6.2537,   7.2256,   6.5663,   6.1164,   5.3654,   5.3427,   4.6791,   7.9911,   4.2109,   6.0000,   3.9268,   5.2122,   5.2666,   6.4914,   4.2598,   2.9344,   3.3529,   4.6729,   5.3175
196704,   6.4431,   3.7196,   3.2724,   4.4734,   3.6898,   3.1958,   3.9127,   5.5023,   3.6959,   3.5061,   5.6881,   4.3353,   3.2800,   5.5659,   3.0172,   6.6976,   2.8535,   3.8855,   3.9220,   2.8657,   6.8866,   2.9044,   0.1300,   3.5468,   1.7638
196705,  -0.1299,   0.5808,  -0.6977,  -0.7294,  -0.8446,  -1.2794,   0.6683,  -0.2278,  -2.3297,  -3.5114,  -3.0391,  -1.8636,  -1.7251,  -0.3469,  -2.0050,  -2.2083,  -0.3998,  -2.9104,  -0.1939,  -0.7558,  -5.6526,  -4.1453,  -4.2161,  -3.7030,  -3.6596
196706,  15.5732,   9.9558,  13.0252,  12.6784,   9.9404,  10.2417,   6.8225,   6.3161,   8.2315,   6.7240,   5.3546,   8.3023,   3.9212,   5.1617,   3.4932,   3.1733,   2.2519,   2.8653,   7.6083,   6.0614,   1.4221,   0.3953,   1.6790,   2.8988,   3.0943
196707,   9.1765,   9.3650,  10.2666,   7.7417,  11.8567,   7.1811,   6.0662,   9.2093,   9.4111,   8.5014,   5.3805,   4.9243,   6.1217,   8.0934,  11.6855,   4.7261,   4.5332,   5.1559,   6.2056,   9.0224,   4.4482,   5.7583,   2.0427,   5.8685,   6.4583
196708,  -0.8750,   0.5369,   0.7694,   0.0389,   2.0620,  -0.9821,  -1.3197,   0.6278,   0.5057,   0.9706,  -3.0349,   1.0770,   1.3743,   1.0660,  -0.6346,  -0.8771,  -1.0114,  -0.8402,   1.9760,   3.7970,  -0.5794,  -1.1033,  -1.3424,   0.4557,   1.3380
196709,  11.3926,  10.0847,   8.4796,   7.5868,   4.9159,   4.9964,   6.0629,   7.5201,   5.5241,   3.2675,   5.6610,   2.1286,   2.7545,   4.4461,   2.4139,   3.7247,   1.5905,   2.1562,   3.9637,   0.4076,   3.8175,   3.1142,   3.2904,   1.6223,   0.2472
196710,   1.7852,  -4.1764,  -1.3730,  -1.4764,  -2.6416,  -1.5185,  -2.0838,   0.7146,  -3.0610,  -4.8142,  -3.5044,  -1.0688,  -3.2366,  -2.0856,  -2.5936,  -4.1379,  -5.7784,  -5.3287,  -3.0538,  -5.2857,  -0.3536,  -3.9701,  -2.7573,  -6.1454,  -6.5113
196711,  -0.8692,   3.8550,  -0.8891,  -1.5607,  -1.1357,   0.9677,   0.5316,   2.8140,  -0.0186,   0.2622,   2.6918,   0.3748,   0.8712,  -0.5611,  -0.8173,   3.0943,   0.5863,  -0.5202,   0.7974,  -0.6812,   1.3221,   0.4516,   0.0139,  -0.5451,   0.0559
196712,  13.7245,  10.5455,   7.9438,   9.4928,  10.1296,  11.9344,   6.6368,   9.5939,   7.3106,   9.4519,   7.7035,   5.6467,   6.0346,   5.4756,   6.8222,   1.3490,   2.7933,   4.7058,   4.5275,   3.7090,   1.9549,   3.1163,   2.1778,   5.5944,   2.7927
196801,   2.5966,   2.1626,   2.9946,   3.3117,   6.0575,  -3.9949,  -2.4846,   0.0688,   1.1395,   1.9235,  -6.8746,  -0.5567,  -1.1940,  -0.9238,   3.5963,  -8.0269,   0.0868,  -2.7123,   0.2170,  -0.4250,  -6.3400,  -5.7036,   0.5901,  -2.2794,  -3.8550
196802,  -9.9556,  -6.9762,  -5.8988,  -6.9034,  -5.6418,  -7.4674,  -5.5880,  -8.8646,  -3.5935,  -5.6863,  -6.9043,  -4.0040,  -2.9974,  -2.4537,  -4.4954,  -5.3871,  -3.6666,  -2.7500,  -5.1517,  -3.8256,  -2.9776,  -2.3459,  -1.9978,  -3.2545,  -1.8996
196803,  -1.6737,  -0.0147,  -0.3978,  -2.0765,  -0.0933,  -0.8733,  -1.5147,   0.3343,  -1.2807,  -0.2635,   1.9985,  -0.9002,  -1.9981,   0.8624,  -0.7083,   0.6360,  -0.2549,  -1.3633,   0.5348,  -0.2883,   3.0690,  -1.2884,  -0.2764,  -1.7868,   2.0264
196804,  21.4422,  17.6579,  16.8698,  16.2619,  15.8675,  18.7842,  13.1622,  17.3675,  11.9895,  12.9147,  16.1637,  11.3039,   8.3909,  10.2258,  17.9284,  12.6769,   7.3163,   8.4456,  12.7905,  11.6528,  10.7849,   7.3369,   3.3888,   9.4085,  10.5079
196805,  10.6816,  12.5592,  10.6352,  11.8187,  11.7851,  11.5443,   8.2647,   8.3908,   7.3113,   6.7495,   8.7985,   4.1029,   5.3473,   4.7753,   7.2149,   4.4729,   4.6606,   2.9012,   2.7741,   6.1608,   2.2905,   1.1136,  -0.6699,  -0.9839,   4.6471
196806,  -1.1390,   0.2348,   1.4049,   2.1588,   0.1143,  -0.5903,   1.5706,  -1.7141,   1.7963,   1.1131,  -2.0214,   2.9754,   3.2657,   1.7259,   0.8588,   0.0303,   3.8596,   3.8827,   2.9536,  -2.1339,  -0.0777,   0.8762,   4.0204,   3.1761,  -1.5962
196807,  -4.7582,  -4.6993,  -3.9231,  -0.7681,   0.7263,  -8.9916,  -2.9308,  -2.8361,  -0.4113,  -0.2864,  -5.5866,  -4.6131,  -3.3892,  -0.8742,  -0.1877,  -5.6543,  -3.3939,  -4.1637,  -1.4979,  -2.1205,  -5.2069,  -1.2600,   2.9404,   0.9438,   1.0380
196808,   4.5121,   5.8795,   4.8623,   4.3360,   4.7619,   1.7298,   2.9254,   3.6507,   1.1608,   7.0846,   2.9053,   3.1520,   2.6773,   2.8084,   4.9590,   1.6937,   1.3500,   2.0213,   2.0435,   2.9434,   1.1961,   0.3795,   2.1715,   1.6484,   2.8192
196809,   7.1012,   8.6014,   7.0408,   6.5308,   6.2510,   7.1948,   6.0743,   7.2009,   5.7537,   6.2715,   7.3969,   6.9420,   3.7783,   5.6468,   6.3787,   6.7915,   5.8127,   4.9185,   6.9162,   6.0704,   1.9491,   5.4091,   2.3952,   4.2392,   8.2914
196810,  -2.0290,   0.0772,   1.4062,   0.1149,   1.8474,  -0.3648,   0.9253,   1.6121,   2.5828,   0.9480,  -0.0045,   2.4224,   2.8829,   2.8157,   0.8152,   0.2382,   0.0005,   2.4880,   0.9927,   2.4205,  -1.7303,   2.0797,   2.0340,   3.7131,   1.1604
196811,   6.9511,   7.5733,   6.5035,   6.1254,   6.8890,   9.9700,   9.6189,   7.8074,   9.1267,   5.8823,   8.5344,   7.2637,   8.3538,   9.4062,   7.7339,   6.9571,   7.5265,   7.2400,   7.4015,   7.9678,   6.2672,   2.9670,   5.8107,   4.5271,   4.0898
196812,   3.8779,   2.4602,   0.7188,  -0.1211,   0.5841,   0.0849,   0.5974,  -1.6635,  -3.0897,  -3.5367,  -2.6156,  -4.0529,  -1.0108,   0.0130,  -2.8746,  -4.2861,  -4.1772,  -4.1354,  -1.5026,  -0.7089,  -5.2460,  -4.2176,  -3.2108,  -3.4979,  -3.0769
196901,  -0.4136,  -2.2335,  -1.8168,  -1.2996,  -1.3325,  -3.0270,  -0.7510,  -1.5857,   1.2431,   0.6382,  -3.5483,  -0.8200,   0.3273,  -2.0029,  -1.2081,  -2.0535,   0.3164,  -0.3021,  -0.1736,   1.0937,  -2.1638,  -0.3728,   0.7367,  -0.3723,   1.3852
196902, -12.4569, -10.5555,  -9.2511,  -8.8311,  -8.7400, -10.8432,  -8.4455,  -5.3171,  -6.7955,  -7.4439,  -9.0163,  -8.5577,  -6.7055,  -6.3906,  -5.7926,  -8.3058,  -7.0204,  -5.2824,  -7.2023,  -8.4324,  -3.2461,  -3.4719,  -4.8731,  -4.5961,  -6.1950
196903,   3.1526,   2.4528,   3.7826,   3.5847,   2.4219,   4.1856,   1.6967,   1.9859,   0.3412,   5.4086,   1.4669,   2.5683,   1.5191,   1.9773,   2.7419,   4.6439,  -2.0579,   2.4117,   1.4505,   3.3304,   4.2629,   2.6894,   4.0536,   2.0008,   4.7621
196904,   1.2610,  -0.7933,   1.7228,   1.6910,   0.0945,   1.8072,   1.0909,   0.9856,  -0.4831,   4.6764,   2.2748,   0.0529,   1.0719,   1.3110,   0.4834,   2.9765,   2.1081,   0.4955,  -0.3988,   1.8329,   3.7428,   0.9671,   1.0180,   3.0439,   0.7321
196905,   1.0362,   0.8531,   0.7669,   1.0799,   0.3609,  -1.5531,  -1.8784,  -0.9336,   0.1353,   0.4892,   0.1857,   0.7596,   2.0123,   0.8480,  -1.8921,  -0.2121,  -0.6801,   1.2795,   0.8917,  -1.8543,  -0.4712,   0.5391,   0.9240,   1.4768,   0.4455
196906, -14.5874, -12.9601, -13.7056, -12.5393, -12.1574, -12.2281, -11.3001,  -9.1597,  -9.9347, -10.9428, -10.3836,  -9.7359, -11.1312,  -9.8208,  -9.0532,  -6.9619,  -8.9092,  -7.1852,  -8.6764,  -8.4595,  -1.7940,  -6.4072,  -7.8507,  -6.6338,  -8.4543
196907, -13.0295, -11.6111, -10.5800, -10.2902,  -7.9217, -10.6747, -10.3243,  -8.4876,  -6.9401,  -8.0849, -10.0720, -10.4920,  -6.6973,  -5.8536,  -7.9228,  -6.5397,  -7.5897,  -6.2473,  -6.5712,  -7.7788,  -4.0889,  -5.7076,  -7.2336,  -7.4927,  -5.6386
196908,   5.2107,   4.8503,   4.7326,   3.0495,   2.7615,   7.3122,   6.5993,   4.0988,   3.0831,   3.2170,   9.6466,   8.8049,   7.3786,   2.9477,   5.5646,   9.5061,   6.0327,   3.9135,   4.1964,   2.4077,   7.0233,   4.7249,   3.9476,   4.3800,   1.9434
196909,  -2.8310,  -4.6396,  -5.5333,  -2.3962,  -3.4394,   1.7842,  -1.3997,  -1.8378,  -1.1141,  -1.4489,   0.6554,  -0.0988,  -2.3031,  -2.3971,  -3.5017,   0.3322,  -1.0684,  -2.2114,  -3.5004,  -3.6486,  -0.4755,  -2.2803,  -3.4655,  -5.0300,  -4.5888
196910,  13.9336,  12.9411,   9.0205,   8.1976,   6.3105,  10.8635,   9.0076,   6.7049,   6.3005,   7.0010,   8.9397,   7.4710,   7.7682,   9.2868,   6.7814,   8.9936,   5.8566,   8.2867,   6.3763,   4.9303,   5.9328,   5.5218,   4.3345,   2.0887,   3.7783
196911,  -8.5161,  -7.3665,  -5.6644,  -6.4527,  -7.3740,  -3.6138,  -5.3626,  -3.2978,  -5.7746,  -5.4258,  -4.4874,  -4.7690,  -6.3849,  -3.3784,  -5.5198,  -2.2545,  -3.8621,  -2.7317,  -5.7282,  -5.9751,  -1.4000,  -3.3582,  -3.6838,  -4.7550,  -1.9362
196912,  -8.1340,  -7.7212,  -4.8730,  -8.8957,  -8.6461,  -4.7301,  -6.1167,  -7.2314,  -6.4770,  -5.9203,  -2.3923,  -2.1081,  -3.9627,  -5.3659,  -4.9956,   0.6349,  -4.6607,  -1.8393,  -2.1182,  -3.9953,   0.9481,  -1.7492,  -1.2234,  -2.0910,  -5.2749
197001,  -4.9206,  -3.0891,  -4.0449,  -2.5643,   0.1002,  -6.9984,  -6.8390,  -2.0414,  -3.9204,  -2.5231,  -9.7033,  -6.8882,  -8.1524,  -3.7498,  -3.3460,  -7.6690, -11.3398,  -7.2413,  -6.6610,  -5.8709,  -8.4757,  -6.8760,  -9.1894,  -8.9153,  -4.2617
197002,   2.1820,   3.6141,   4.3177,   3.2273,   4.2920,   2.5981,   2.5180,   2.7737,   8.0625,   7.2068,   3.3147,   3.1067,   6.2512,   5.4960,   7.2760,   3.6232,   5.5197,   6.3028,   9.4332,   6.9019,   3.5366,   5.8542,   9.0681,   6.7138,   8.1532
197003,  -6.6663,  -5.0227,  -3.0748,   0.8671,  -1.3029,  -6.2355,  -1.8920,  -0.2967,  -0.0639,   0.3514,  -3.5763,  -1.5601,  -0.4734,   2.3518,   0.9753,  -4.2593,   0.2361,   1.8779,   0.1866,   2.3859,  -2.4251,   0.2261,   2.2559,   1.0704,   1.5906
197004, -23.8667, -19.1124, -15.0556, -13.0028, -12.0249, -22.6575, -17.1707, -14.9831, -10.6036, -11.3640, -19.8175, -15.3220, -12.9919,  -9.2313, -10.4521, -15.1495, -14.5709,  -9.6727,  -9.9261,  -9.2130, -10.5305,  -8.1926,  -8.5592,  -7.2285,  -7.9998
197005, -10.1977, -10.2638,  -8.8710,  -7.9896, -10.4317, -12.7452,  -8.9566, -11.0145,  -8.0806,  -8.1227, -11.2606, -11.5521, -12.6387,  -6.8948,  -8.0467, -10.3364, -10.1671,  -7.6780,  -6.9316,  -7.6249,  -8.0912,  -5.7688,  -4.1494,  -0.3666,  -4.0085
197006, -12.3563,  -8.1941,  -7.6508,  -8.1869,  -6.0270,  -9.9553,  -8.0561,  -8.1022,  -6.7615,  -5.9622,  -8.4460,  -5.0296,  -5.5599,  -4.4976,  -7.1895,  -2.7221,  -5.0910,  -4.0743,  -3.1826, -10.0941,  -6.2901,  -4.0989,  -3.3057,  -2.3261,  -8.2197
197007,   4.6167,   5.2616,   5.4424,   6.6431,   3.8172,   6.6880,   7.7305,   6.1814,  10.6860,   7.2115,   8.1345,   6.3251,   8.9145,   5.4211,   7.7135,   6.0150,   9.3181,   8.7285,   9.2134,  11.4884,   4.4988,   8.0617,   9.4866,  10.5477,   6.2455
197008,   4.8764,   6.6773,   6.9851,   6.7741,   6.5447,   9.3592,   8.2819,   7.4972,   7.8383,   4.4825,   6.1517,   8.0803,   5.7183,   6.3575,   7.0636,   4.5155,   8.1531,   3.8968,   5.3007,   6.8832,   4.0833,   5.2004,   4.6549,   4.6999,   6.4130
197009,  22.4227,  16.2178,  16.1745,  11.1206,  11.7181,  17.5271,  17.3630,  12.2251,   6.8959,   9.7538,  15.1380,  10.7298,   7.9641,   5.0618,   6.6483,   9.5209,   6.3864,   4.6529,   3.9842,   7.8510,   7.0927,   0.3759,  -0.1852,   0.1920,   4.4831
197010, -11.3904,  -6.9145, -11.5041,  -6.2071,  -4.6173,  -4.8814,  -7.9132,  -6.8170,  -3.6496,  -4.3405,  -5.5638,  -4.2639,  -6.0776,  -2.7566,  -4.5727,  -2.9441,  -3.6666,  -3.1506,  -3.4293,  -6.3541,  -0.1288,  -1.1140,  -2.3804,  -0.2577,  -3.9176
197011,  -4.6746,  -2.0099,  -2.3851,   0.7660,   0.2109,   0.9636,   1.4481,   2.8696,   5.7286,   3.7802,   3.2220,   2.6470,   5.3373,   4.3040,   2.2567,   4.7930,   3.2670,   6.0157,   8.3688,   5.2224,   5.1060,   6.6917,   5.0383,   5.9378,   5.9945
197012,   7.2388,   7.1722,  10.6986,  11.9843,  10.6600,   8.6546,   8.4590,   8.3346,   9.6677,   9.4180,   6.3721,   8.9793,  10.2049,   8.8878,   8.5395,   6.2335,  10.7235,   8.4178,   9.9115,   7.5748,   4.7416,   5.8998,   7.4319,   4.9276,   6.9106
197101,  15.3240,  13.7163,  16.1915,  13.8962,  15.7942,   7.7579,  12.1878,  12.8509,  10.3786,  13.2525,   8.2457,   9.0856,  10.1322,   8.3302,   8.5248,   5.5349,   7.0270,   5.1696,   8.3846,  13.7464,   4.0342,   4.3909,   1.9496,   3.6192,   4.2865
197102,   7.9391,   7.2198,   5.9037,   3.2956,   4.2077,   4.1751,   2.6012,   3.1696,   2.0510,   0.3450,   4.6487,   1.6008,   2.3673,   1.3262,   2.2616,   3.5196,   2.8587,   0.4601,   3.1620,   1.6165,   2.3102,   0.3614,   1.0344,   0.2669,   1.2671
197103,   8.2712,   4.9854,   7.4939,   6.6133,   5.0000,   7.4500,   7.5686,   5.9522,   4.2676,   1.6846,  10.4030,   9.1635,   3.2888,   3.0508,   4.6750,   7.0827,   6.3134,   4.5746,   2.2244,   3.4925,   5.7157,   2.8530,   4.4045,   1.6151,   2.5465
197104,   0.7812,   3.3848,   2.4400,   2.6726,   1.5427,   2.1220,   2.6050,   1.9262,   3.6472,   6.6501,   6.2430,   4.3134,   4.7821,   2.0282,   8.3691,   2.9392,   3.1581,   1.8113,   4.1398,   9.2182,   3.5180,   5.5345,   1.2423,   2.3281,   6.2427
197105,  -6.6060,  -5.4173,  -6.5869,  -5.4902,  -6.2858,  -2.9422,  -6.0830,  -5.5932,  -4.1796,  -4.4997,  -4.2731,  -2.7390,  -5.1048,  -3.4609,  -3.4211,  -1.8344,  -3.3640,  -4.3239,  -3.1074,  -4.2097,  -2.4616,  -4.3284,  -4.0327,  -5.1921,  -3.5393
197106,  -0.7879,  -3.3777,  -1.9651,  -1.4088,  -2.0907,   3.3763,  -1.6143,   0.3851,  -2.1092,  -3.3720,  -1.3640,   1.2548,  -0.9377,  -2.5185,  -2.0069,   1.0987,   1.0988,   2.2571,   0.4692,  -4.0266,   1.1920,  -1.0946,   0.4443,   0.6965,  -0.1945
197107,  -8.7413,  -8.2520,  -7.1808,  -5.9688,  -6.1309,  -6.2508,  -5.0162,  -3.8373,  -6.8124,  -5.5136,  -7.7787,  -4.5846,  -3.2731,  -5.6123,  -4.8649,  -3.5414,  -4.0742,  -3.8259,  -4.2450,  -7.6081,  -3.8981,  -4.2343,  -3.2315,  -3.2955,  -5.4874
197108,   3.3411,   4.3469,   3.1656,   4.4301,   5.6015,   3.8125,   7.4455,   3.4936,   6.2566,   7.8880,   6.5718,   4.6213,   2.2735,   6.5640,   9.0715,   6.9164,   3.8124,   2.6107,   3.2849,  10.5583,   5.3312,   4.8586,  -1.2656,   1.9692,  13.5874
197109,   1.6941,   1.8350,  -0.5345,  -0.4539,  -2.1653,   2.2047,  -0.8941,  -1.8528,  -1.9358,  -2.2972,   1.3411,   0.0781,  -1.1371,  -0.9383,  -3.1404,   1.9631,  -0.9445,  -0.1287,  -0.3825,  -4.4393,   0.2979,  -1.2736,  -1.1894,  -1.4516,  -2.1494
197110,  -7.6767,  -7.0570,  -6.8033,  -4.5602,  -7.1434,  -5.7025,  -5.3625,  -3.3034,  -4.6321,  -6.3956,  -7.7953,  -6.5689,  -2.7235,  -5.0742,  -4.7402,  -3.1907,  -3.2601,  -2.2444,  -5.7150,  -5.8661,  -3.5400,  -6.1504,  -3.0493,  -2.7068,  -4.0156
197111,  -3.5237,  -5.9467,  -3.7337,  -4.4279,  -5.4709,  -1.9220,  -2.3069,  -1.7147,  -2.7872,  -2.1972,  -1.8158,  -1.2957,  -1.1892,  -3.9644,  -4.9329,   0.3372,  -1.9863,  -2.4924,   0.5239,  -4.3881,   1.0513,   0.6603,   0.2928,  -0.5533,   0.2834
197112,  13.7526,  13.9577,  11.0701,  11.7542,  12.9642,  12.8652,  13.9725,  12.9376,  11.0736,  12.5047,  13.6525,  10.0263,  10.1366,  11.8079,  11.8001,  12.4130,   9.6423,   8.6078,   8.3569,  12.4610,   8.3869,   9.8266,   8.5389,   6.9302,   8.9392
197201,  13.7521,  13.8943,  11.6810,  10.8050,  14.6033,   8.2778,   6.7941,   5.4198,   6.9915,  10.9341,   5.3630,   4.4650,   2.3952,   5.5063,   7.9893,   2.8800,   1.8694,   1.7225,   3.0968,   8.2650,   2.7435,   0.6143,  -0.7565,   0.8187,   6.3830
197202,   2.9486,   5.5713,   4.3975,   4.1346,   3.5601,   5.1507,   4.5064,   4.2189,   1.8598,   3.7159,   6.5390,   4.3180,   1.6927,   0.5090,   2.0956,   5.3812,   1.7620,   0.0114,   2.1309,   0.3880,   4.6820,   2.4513,   1.1760,   0.3730,   0.0640
197203,   2.5126,   0.3687,  -1.7587,  -1.3593,  -0.7316,   2.0301,   1.6429,  -0.9026,  -0.6821,  -1.3527,   2.6268,   1.0876,   1.6189,   0.8552,  -1.4245,   0.9818,  -0.2406,   3.1746,   1.8853,   0.8433,   2.5419,   0.4763,  -3.1900,  -1.9027,   2.8601
197204,  -1.0730,   0.7257,  -1.0496,   0.9605,   1.2386,   0.1931,   0.6074,   2.0598,   1.5423,   1.6188,   1.7916,  -0.9862,  -0.0217,   1.1100,  -0.1860,  -1.0139,  -0.5736,  -0.3721,   1.2618,   3.5647,   0.9814,   1.2757,   0.1560,   0.1594,  -1.0880
197205,  -1.8029,  -1.9706,  -3.8657,  -2.0162,  -2.3828,  -0.4063,  -1.5736,  -1.9423,  -3.4767,  -1.7563,   1.4495,  -2.1941,   1.0084,  -1.1272,  -4.0340,   3.5670,  -1.5559,  -1.2978,  -0.0409,   0.4975,   3.2767,  -0.5722,   3.0371,   1.0030,  -2.6657
197206,  -4.2190,  -4.2398,  -3.5757,  -2.9571,  -4.0548,  -3.9635,  -3.3004,  -1.5543,  -1.3574,   0.9363,   0.1679,  -1.9178,  -3.9536,  -5.3283,  -5.8534,  -3.9455,  -2.1356,  -2.1573,  -4.6430,  -7.7827,  -0.7118,  -3.4738,  -2.5693,  -2.3387,  -6.6736
197207,  -6.6897,  -4.9401,  -3.5295,  -3.5778,  -2.8166,  -5.4068,  -4.8581,  -3.4418,  -2.0614,  -3.7243,  -3.3653,  -1.4496,  -3.1607,  -0.9736,  -0.3526,  -3.5335,  -2.9737,  -2.0691,   0.0069,  -2.5800,   1.6152,  -1.5390,   0.3470,  -1.4021,  -1.6451
197208,  -1.7583,  -2.4583,   0.9152,  -0.5091,   2.3758,  -0.5046,  -1.6222,   1.6590,   1.8551,   4.8353,   0.2244,   2.1124,   2.8057,   5.6674,   2.8396,  -0.0078,   2.8873,   4.8803,   5.2415,   7.0177,   0.7564,   6.8151,   7.3221,   8.9370,   6.1542
197209,  -4.6077,  -4.9078,  -4.5605,  -4.0015,  -4.1245,  -3.5078,  -3.7796,  -2.0672,  -2.3024,  -3.2114,  -1.3190,  -2.7876,  -0.9978,  -2.0873,  -2.7153,  -1.8865,  -3.2680,  -0.5774,  -2.3718,  -4.0714,   0.1559,  -1.6308,  -1.8369,   2.0715,  -3.7540
197210,  -3.2831,  -3.0023,  -2.5220,  -2.2805,  -1.9216,  -4.0677,  -0.4315,   1.5437,   0.5916,  -0.5669,  -2.9958,  -0.9049,   1.5089,   0.6119,  -0.0006,  -1.7359,   0.3478,   1.0589,   2.3444,  -0.6925,   0.9964,   0.9871,   2.2091,   2.4025,   1.0570
197211,   0.4075,   4.2545,   4.2361,   6.0671,   5.9161,   4.1784,   4.7624,   7.6336,   4.8953,   7.0144,   3.1271,   4.2533,   6.4963,   7.8444,   7.3958,   6.6368,   7.0705,   7.0170,   7.0591,  10.9000,   1.6188,   6.7508,   6.8054,   8.0398,  13.8047
197212,  -1.8742,  -2.7637,  -3.1264,  -2.5294,  -1.5745,  -0.5915,  -2.6285,   0.1914,  -3.2359,  -2.4646,   0.8018,  -0.3197,  -0.4713,  -1.3107,  -2.8586,   0.4286,  -1.4230,  -0.9620,  -1.4912,  -4.4177,   3.7072,  -0.0429,  -0.6725,  -0.0121,  -2.6384
197301,  -7.9703,  -4.2062,  -3.6666,  -3.5599,  -1.3425, -10.6220,  -5.7306,  -6.9055,  -3.0313,  -5.5930,  -7.4492,  -7.6729,  -5.9813,  -3.6232,  -5.3608,  -6.3020,  -7.5958,  -5.6279,  -3.4461,  -4.5251,  -1.5994,  -3.9154,  -1.0306,   0.6332,  -4.3609
197302, -14.1495,  -8.8562,  -8.6484,  -8.0531,  -5.9421, -13.7478,  -8.0652,  -7.3282,  -5.8454,  -5.4495, -11.0932,  -8.2362,  -7.4090,  -3.3587,  -6.9549,  -8.3815,  -8.0942,  -4.5502,  -3.6252,  -2.2793,  -2.2259,  -2.9365,  -4.7621,  -6.0083,  -3.3765
197303,  -6.8215,  -4.1272,  -2.5048,  -1.0623,  -1.8148,  -5.0000,  -2.4470,  -2.4300,  -2.1619,  -0.2522,  -4.8539,  -4.2551,  -2.1919,  -1.6518,   0.9751,  -3.9579,  -4.0468,  -1.9330,  -2.3818,   0.7017,  -0.7304,  -0.9682,   1.6897,   1.9752,   1.5699
197304, -12.4035,  -9.6832,  -6.5334,  -6.2709,  -5.3483, -13.9279,  -9.4034,  -5.7146,  -4.3643,  -4.7999, -10.8856,  -6.5520,  -3.8308,  -3.8066,  -4.4183, -10.9582,  -7.9108,  -2.9973,  -2.8407,  -4.2702,  -5.8787,  -3.3732,  -1.9895,  -0.8102,  -2.7667
197305, -11.3482, -11.1733,  -9.2842,  -7.9017,  -8.2216, -11.1663,  -9.3234,  -7.7765,  -5.8539,  -9.2223,  -9.2779,  -8.5464,  -4.3194,  -3.3456,  -6.8095,  -6.8008,  -8.3905,  -2.3058,  -2.5361,  -4.8735,   0.2255,  -1.0456,  -0.9262,  -3.2891,  -5.6095
197306,  -5.3037,  -4.0360,  -4.6911,  -2.7581,  -2.4255,  -6.9214,  -3.6845,  -2.7956,  -2.1309,  -1.7499,  -6.3212,  -3.0287,  -1.6276,  -1.2607,  -2.7117,  -4.6325,  -3.7468,  -3.1221,  -0.9388,  -3.8491,  -0.3585,  -0.3501,   0.7959,  -0.7357,  -2.0291
197307,  18.8549,  16.2748,  11.9576,  13.4589,  10.7631,  21.6410,  13.5298,  11.3103,   6.9237,  10.0269,  18.9039,   9.7531,   7.9079,   2.2640,   7.7097,  15.3507,   8.8889,   6.0480,   3.9719,   8.9492,   5.4223,   5.7035,  -0.2658,   1.9718,   4.2202
197308,  -5.3715,  -6.8682,  -6.1059,  -5.9572,  -4.5452,  -2.9076,  -7.1552,  -4.6870,  -5.2974,  -4.1004,  -3.1227,  -4.5892,  -3.6779,  -2.7398,  -0.7749,  -2.5682,  -1.0892,  -2.4377,  -1.9856,  -0.5774,  -3.4386,  -2.2355,  -3.6683,  -2.5472,   0.7817
197309,  11.9283,  11.1756,   6.9101,   7.7862,   7.1182,  11.0546,  11.0535,  11.7291,   6.9498,  10.3251,  11.2106,  10.0251,  10.0488,   8.9900,  10.4922,   9.9926,  11.7877,  11.0695,   9.8519,  11.8331,   0.3109,   7.0759,   8.5932,   8.6073,   8.2683
197310,  -2.5706,   0.4149,   1.4611,  -0.1569,   1.2540,  -2.9910,  -3.5515,   0.8213,   1.8475,   0.8853,  -3.8382,   2.3886,   0.4616,  -0.2230,   1.3555,  -2.3285,  -1.5450,   0.8397,  -0.4580,   2.3843,   0.5317,  -0.7648,   0.2133,  -2.9843,   2.5475
197311, -24.9771, -21.1212, -19.0690, -16.7619, -18.1432, -23.4990, -19.6679, -19.3150, -15.7382, -16.1383, -22.8534, -18.3901, -16.1524, -12.0182, -16.0841, -20.5459, -17.1308, -13.8647, -12.7523, -14.9083, -10.8719, -12.2204, -10.6811,  -6.2619,  -8.2484
